Cm,Ch,Bm,Bh,T,R,G,B
0,0.026,0.2,0,0.25,161.07,149.82,151.29
0,0.026,0.2,0.2,0.01,143.13,120.76,109.24
0,0.026,0.2,0.2,0.058,150.52,131.85,125.24
0,0.026,0.2,0.2,0.106,154.51,138.55,135.06
0,0.026,0.2,0.2,0.154,157.19,142.14,142.32
0,0.026,0.2,0.2,0.202,157.94,143.8,149.66
0,0.026,0.2,0.2,0.25,160.75,146.89,151.89
0,0.026,0.2,0.4,0.01,141.51,120.57,107.96
0,0.026,0.2,0.4,0.058,147.74,129.09,124.28
0,0.026,0.2,0.4,0.106,153.81,135.91,136.7
0,0.026,0.2,0.4,0.154,155.67,139.96,142.61
0,0.026,0.2,0.4,0.202,158.79,143.91,146.98
0,0.026,0.2,0.4,0.25,161.63,147.62,151.37
0,0.026,0.2,0.6,0.01,141.91,118.58,110.9
0,0.026,0.2,0.6,0.058,143.54,129.08,127.72
0,0.026,0.2,0.6,0.106,148.2,135.48,137.66
0,0.026,0.2,0.6,0.154,153.77,140.34,143.66
0,0.026,0.2,0.6,0.202,157.05,145.01,147.97
0,0.026,0.2,0.6,0.25,159.6,149.15,153.51
0,0.026,0.2,0.8,0.01,137.22,120.52,111.86
0,0.026,0.2,0.8,0.058,145.39,130.57,126.82
0,0.026,0.2,0.8,0.106,147.61,136.84,135.84
0,0.026,0.2,0.8,0.154,153.57,141.66,143.22
0,0.026,0.2,0.8,0.202,160.8,145.18,146.69
0,0.026,0.2,0.8,0.25,164.03,148.88,153.49
0,0.026,0.2,1,0.01,139.11,122.5,113.68
